"location","date","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","tests_units","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k"
"China","2020-02-27",78598,439,2746,29,54.608,0.305,1.908,0.02,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-02-28",78927,329,2790,44,54.836,0.229,1.938,0.031,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-02-29",79355,428,2837,47,55.134,0.297,1.971,0.033,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-01",79929,574,2872,35,55.532,0.399,1.995,0.024,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-02",80134,205,2914,42,55.675,0.142,2.025,0.029,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-03",80261,127,2946,32,55.763,0.088,2.047,0.022,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-04",80380,119,2983,37,55.846,0.083,2.073,0.026,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-05",80497,117,3014,31,55.927,0.081,2.094,0.022,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-06",80667,170,3044,30,56.045,0.118,2.115,0.021,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-07",80768,101,3072,28,56.115,0.07,2.134,0.019,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-08",80814,46,3099,27,56.147,0.032,2.153,0.019,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-09",80859,45,3122,23,56.178,0.031,2.169,0.016,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-10",80879,20,3139,17,56.192,0.014,2.181,0.012,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-11",80908,29,3161,22,56.213,0.02,2.196,0.015,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-12",80932,24,3172,11,56.229,0.017,2.204,0.008,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-13",80954,22,3179,7,56.244,0.015,2.209,0.005,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-14",80973,19,3194,15,56.258,0.013,2.219,0.01,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-15",80995,22,3203,9,56.273,0.015,2.225,0.006,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-16",81020,25,3216,13,56.29,0.017,2.234,0.009,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-17",81063,43,3225,9,56.32,0.03,2.241,0.006,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-18",81086,23,3241,16,56.336,0.016,2.252,0.011,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-19",81130,44,3249,8,56.367,0.031,2.257,0.006,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-20",81229,99,3253,4,56.436,0.069,2.26,0.003,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-21",81281,52,3259,6,56.472,0.036,2.264,0.004,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-22",81346,65,3265,6,56.517,0.045,2.268,0.004,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-23",81484,138,3274,9,56.613,0.096,2.275,0.006,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-24",81553,69,3281,7,56.661,0.048,2.28,0.005,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-25",81631,78,3285,4,56.715,0.054,2.282,0.003,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-26",81733,102,3291,6,56.786,0.071,2.286,0.004,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-27",81827,94,3296,5,56.851,0.065,2.29,0.003,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
